created_at,entry_id,field1,field2,field3,field4
2018-11-06 20:20:40 UTC,291781,0,35.8,27.437,25.125
2018-11-06 20:21:09 UTC,291782,0,35.8,27.5,25.125
2018-11-06 20:21:36 UTC,291783,0,35.8,27.375,25.125
2018-11-06 20:21:52 UTC,291784,0,34.7,27.375,25.125
2018-11-06 20:22:09 UTC,291785,0,34.7,27.375,25.125
2018-11-06 20:22:38 UTC,291786,0,34.7,27.375,25.125
2018-11-06 20:22:53 UTC,291787,0,35.8,27.375,25.125
2018-11-06 20:23:09 UTC,291788,0,35.2,27.375,25.125
2018-11-06 20:23:37 UTC,291789,0,34.7,27.25,25.125
2018-11-06 20:24:07 UTC,291790,0,34.7,27.25,25.125
2018-11-06 20:24:22 UTC,291791,0,35.8,27.187,25.125
2018-11-06 20:24:39 UTC,291792,0,35.2,27.125,25.125
2018-11-06 20:25:12 UTC,291793,0,35.2,27.187,25.187
2018-11-06 20:25:38 UTC,291794,0,35.8,27.125,25.125
2018-11-06 20:26:09 UTC,291795,0,34.7,27.125,25.187
2018-11-06 20:26:24 UTC,291796,0,35.2,27.125,25.125
2018-11-06 20:26:52 UTC,291797,0,35.8,27.125,25.125
2018-11-06 20:27:11 UTC,291798,0,35.2,27.125,25.187
2018-11-06 20:27:38 UTC,291799,0,35.2,27.125,25.125
2018-11-06 20:27:53 UTC,291800,0,35.8,27.125,25.125
2018-11-06 20:28:22 UTC,291801,0,35.8,27.125,25.187
2018-11-06 20:28:52 UTC,291802,0,35.8,27.062,25.187
2018-11-06 20:29:09 UTC,291803,0,35.8,27.062,25.187
2018-11-06 20:29:38 UTC,291804,0,35.8,27.062,25.187
2018-11-06 20:30:06 UTC,291805,0,35.8,27.0,25.125
2018-11-06 20:30:21 UTC,291806,0,36.9,27.0,25.125
2018-11-06 20:30:52 UTC,291807,0,36.9,27.0,25.125
2018-11-06 20:31:08 UTC,291808,0,36.9,27.0,25.125
2018-11-06 20:31:41 UTC,291809,0,36.3,27.0,25.187
2018-11-06 20:32:06 UTC,291810,0,35.8,27.062,25.125
2018-11-06 20:32:38 UTC,291811,0,35.8,27.062,25.125
2018-11-06 20:33:08 UTC,291812,0,35.8,27.125,25.125
2018-11-06 20:33:24 UTC,291813,0,35.8,27.125,25.187
2018-11-06 20:33:51 UTC,291814,0,36.3,27.125,25.125
2018-11-06 20:34:23 UTC,291815,0,36.3,27.125,25.125
2018-11-06 20:34:41 UTC,291816,0,35.8,27.125,25.125
2018-11-06 20:35:10 UTC,291817,0,35.8,27.125,25.187
2018-11-06 20:35:37 UTC,291818,0,35.8,27.125,25.187
2018-11-06 20:35:53 UTC,291819,0,35.8,27.125,25.187
2018-11-06 20:36:22 UTC,291820,0,35.8,27.062,25.125
2018-11-06 20:36:38 UTC,291821,0,35.8,27.062,25.125
2018-11-06 20:36:53 UTC,291822,0,35.8,27.125,25.125
2018-11-06 20:37:22 UTC,291823,0,36.3,27.062,25.125
2018-11-06 20:37:52 UTC,291824,0,35.8,27.062,25.125
2018-11-06 20:38:07 UTC,291825,0,36.3,27.062,25.125
2018-11-06 20:38:23 UTC,291826,0,35.8,27.062,25.125
2018-11-06 20:38:52 UTC,291827,0,35.8,27.125,25.125
2018-11-06 20:39:07 UTC,291828,0,35.8,27.125,25.125
2018-11-06 20:39:37 UTC,291829,0,35.8,27.062,25.125
2018-11-06 20:39:53 UTC,291830,0,34.7,27.125,25.125
2018-11-06 20:40:21 UTC,291831,0,35.8,27.125,25.125
2018-11-06 20:40:38 UTC,291832,0,34.7,27.125,25.187
2018-11-06 20:41:07 UTC,291833,0,35.2,27.062,25.125
2018-11-06 20:41:23 UTC,291834,0,34.7,27.062,25.125
2018-11-06 20:41:52 UTC,291835,0,35.2,27.062,25.125
2018-11-06 20:42:08 UTC,291836,0,34.7,27.062,25.125
2018-11-06 20:42:37 UTC,291837,0,35.8,27.062,25.187
2018-11-06 20:42:52 UTC,291838,0,34.7,27.062,25.125
2018-11-06 20:43:10 UTC,291839,0,34.7,27.062,25.187
2018-11-06 20:43:38 UTC,291840,0,35.2,27.062,25.187
2018-11-06 20:44:07 UTC,291841,0,35.2,27.062,25.187
2018-11-06 20:44:22 UTC,291842,0,34.7,27.062,25.187
